Month,Year, Category ,date,power_generation,Feed-in,Load,grid_connected,Charge,battery_level
1,22,1,01/01/22,15.8,0.3,19.74,4.24,5.6,5.4
1,22,2,02/01/22,19.9,0.31,28.16,8.57,4.5,4.2
1,22,3,03/01/22,20.8,0.24,26.65,6.09,3.3,3.3
1,22,4,04/01/22,15.3,0.35,19.56,4.61,3.4,3.3
1,22,5,05/01/22,15.4,0.18,20.23,5.01,5.4,5.3
1,22,6,06/01/22,16.2,0.06,23.94,7.8,6.2,6.6
1,22,7,07/01/22,13.1,0.01,21.92,8.83,2.5,4
1,22,8,08/01/22,13.6,0.18,22.15,8.73,3.8,1.7
1,22,9,09/01/22,15.1,0.28,19.46,4.64,2.9,2.6
1,22,10,10/01/22,15.7,0.12,20.66,5.08,5.5,5.8
1,22,11,11/01/22,12.3,0.05,17.4,5.15,4.1,4.3
1,22,12,12/01/22,15.8,0.43,20.5,5.13,3.6,3.3
1,22,13,13/01/22,13.7,0.11,19.13,5.54,4.3,6.2
1,22,14,14/01/22,15.8,0.32,23.21,7.73,4,2
1,22,15,15/01/22,14.3,0.26,18.28,4.24,3.9,3.9
1,22,16,16/01/22,16.7,0.27,21.77,5.34,3.7,3.4
1,22,17,17/01/22,11.3,0.08,17.4,6.18,3.6,5.9
1,22,18,18/01/22,12.7,0.19,19.97,7.46,3.6,1.1
1,22,19,19/01/22,15.9,0.51,20.07,4.68,3.5,3.4
1,22,20,20/01/22,14.6,0.34,18.77,4.51,3.4,3.2
1,22,21,21/01/22,15.6,0.25,21.17,5.82,3.6,3.6
1,22,22,22/01/22,16.7,0.24,22.21,5.75,3.6,3.6
1,22,23,23/01/22,18.8,0.35,23.31,4.86,4.1,3.8
1,22,24,24/01/22,15.4,0.3,19.98,4.88,3.4,3.4
1,22,25,25/01/22,14.3,0.3,18.89,4.89,3.4,3.4
1,22,26,26/01/22,11.6,0.2,19.22,7.82,4.3,5
1,22,27,27/01/22,12.9,0.23,19.61,6.94,4.3,3.5
1,22,28,28/01/22,13.5,0.26,17.56,4.32,3.4,3.3
1,22,29,29/01/22,13,0.27,16.67,3.94,3.4,3.4
1,22,30,30/01/22,13.3,0.35,16.91,3.96,3.5,3.2
1,22,31,31/01/22,14.5,0.34,19.88,5.72,4.4,4.3
2,22,1,01/02/22,12.7,0.14,17.42,4.86,4.2,4
2,22,2,02/02/22,13.8,0.45,20.94,7.59,4.1,4.6
2,22,3,03/02/22,11,0.09,16.51,5.6,4,4.5
2,22,4,04/02/22,10.7,0.02,16.24,5.56,4.1,5.2
2,22,5,05/02/22,12,0.01,17.86,5.87,4.8,3.8
2,22,6,06/02/22,17.3,0.23,22.21,5.14,5.2,3.4
2,22,7,07/02/22,16.2,0.36,20.56,4.72,3.5,3.4
2,22,8,08/02/22,13.6,0.34,17.35,4.09,3.7,3.7
2,22,9,09/02/22,13.8,0.45,18.54,5.19,3.8,3.7
2,22,10,10/02/22,14.5,0.27,18.38,4.15,3.7,3.7
2,22,11,11/02/22,14.2,0.25,19.13,5.18,3.6,3.6
2,22,12,12/02/22,16.3,0.26,21.35,5.31,3.6,3.5
2,22,13,13/02/22,13.9,0.2,19.51,5.81,3.5,3.6
2,22,14,14/02/22,13.7,0.14,19.38,5.82,5.2,5.1
2,22,15,15/02/22,14,0.31,18.29,4.6,3.8,3.5
2,22,16,16/02/22,13.2,0.2,19.41,6.41,4.1,4.1
2,22,17,17/02/22,13.7,0.33,17.27,3.9,3.3,3.4
2,22,18,18/02/22,13.9,0.22,19.95,6.27,3.7,3.7
2,22,19,19/02/22,13.8,0.34,18.18,4.72,4,4
2,22,20,20/02/22,17,0.28,21.5,4.78,3.2,3.3
2,22,21,21/02/22,14.3,0.34,18.01,4.05,3.2,3.2
2,22,22,22/02/22,17.4,0.25,23.24,6.09,3.3,3.4
2,22,23,23/02/22,16.8,0.42,22.41,6.03,3.7,3.6
2,22,24,24/02/22,18.4,0.21,25.64,7.45,4.2,4.1
2,22,25,25/02/22,17.4,0.25,22.43,5.28,3.8,4
2,22,26,26/02/22,15.1,0.27,21.36,6.53,3.6,3.5
2,22,27,27/02/22,16.7,0.18,22.12,5.6,4.5,4.3
2,22,28,28/02/22,15.4,0.34,19.75,4.69,3.2,3
3,22,1,01/03/22,14.2,0.21,18.75,4.76,3.8,3.8
3,22,2,02/03/22,15.4,0.35,20.77,5.72,3.1,3.2
3,22,3,03/03/22,13.8,0.3,18.11,4.61,3.4,3.5
3,22,4,04/03/22,12.5,0.16,18.14,5.8,5.1,5.5
3,22,5,05/03/22,13.4,0.27,17.72,4.59,3.2,2.7
3,22,6,06/03/22,14.6,0.19,20.07,5.66,3.1,3
3,22,7,07/03/22,11.9,0.09,17.23,5.42,4.1,4.7
3,22,8,08/03/22,10.7,0.02,17.08,6.4,3.1,5.5
3,22,9,09/03/22,13.4,0.26,18.91,5.77,4.6,1.8
3,22,10,10/03/22,11.4,0.18,16.99,5.77,4.2,4.2
3,22,11,11/03/22,14.2,0.36,21.89,8.05,4.5,3.9
3,22,12,12/03/22,10.9,0.19,14.62,3.91,4.1,4.6
3,22,13,13/03/22,9.2,0.06,15.21,6.07,3.8,7.7
3,22,14,14/03/22,8.1,0.04,17.67,9.61,2,2.1
3,22,15,15/03/22,14,0.02,22.83,8.85,6.3,2.2
3,22,16,16/03/22,15.7,0.26,21.52,6.08,4.1,3.3
3,22,17,17/03/22,15.7,0.25,20.1,4.65,3.8,3.8
3,22,18,18/03/22,15.1,0.29,20.16,5.35,3.8,3.7
3,22,19,19/03/22,12.9,0.34,16.63,4.07,3.5,3.4
3,22,20,20/03/22,16,0.13,20.97,5.1,4.9,4.9
3,22,21,21/03/22,14.7,0.3,19,4.6,3.4,3.4
3,22,22,22/03/22,16,0.35,21.04,5.39,3.6,3.6
3,22,23,23/03/22,14.1,0.29,19.35,5.54,3.4,3.3
3,22,24,24/03/22,13.8,0.21,18.31,4.72,3.7,3.6
3,22,25,25/03/22,8.7,0.05,16.64,7.99,2.6,6.5
3,22,26,26/03/22,16,0.01,26.18,10.19,5.8,3.9
3,22,27,27/03/22,15.2,0.22,20.67,5.69,5.5,2.9
3,22,28,28/03/22,14.8,0.35,20.35,5.9,3,2.7
3,22,29,29/03/22,12.5,0.24,17.91,5.65,3.9,4.1
3,22,30,30/03/22,17.6,0.29,23.21,5.9,5.4,5.8
3,22,31,31/03/22,5.8,0,13.74,7.94,1.5,5.5
4,22,1,01/04/22,10.3,0.09,26.3,16.09,8.4,3.8
4,22,2,02/04/22,8.2,0.07,14.38,6.25,3.3,3.1
4,22,3,03/04/22,17.8,0.19,24.32,6.71,5.8,5.1
4,22,4,04/04/22,11.3,0.33,15.75,4.78,3.1,3
4,22,5,05/04/22,15.4,0.29,20.21,5.1,4.9,4.9
